time, x, z
500264, 3, 1
501080, 4, 3
501840, 4, 3
502600, 5, 3
503360, 5, 3
504120, 5, 3
504888, 5, 3
505648, 35, 4
506472, 84, 3
507280, 127, 4
508144, 158, 3
509008, 179, 4
509876, 186, 20
510784, 193, 39
511708, 194, 54
513032, 199, 68
514388, 203, 73
515748, 207, 81
517108, 209, 83
518468, 207, 85
519828, 211, 89
521188, 212, 87
522548, 208, 90
523908, 214, 89
525268, 209, 90
526628, 207, 89
527988, 218, 91
529348, 208, 92
530708, 208, 87
532068, 218, 92
533428, 204, 92
534788, 213, 89
536148, 218, 95
537508, 201, 92
538868, 217, 91
540228, 214, 92
541588, 201, 89
542948, 222, 90
544308, 206, 91
545668, 205, 89
547028, 222, 93
548388, 198, 92
549748, 218, 90
551108, 215, 92
552468, 200, 86
553828, 228, 91
555188, 200, 92
556548, 217, 88
557908, 216, 96
559268, 199, 88
560628, 225, 95
561988, 193, 93
563348, 220, 91
564708, 260, 399
566152, 691, 216
567596, 758, 195
569040, 836, 4
570336, 836, 4
571616, 640, 3
572888, 304, 4
574168, 192, 3
575440, 87, 147
576776, 148, 224
578220, 222, 336
579668, 268, 224
581112, 347, 188
582556, 421, 323
584000, 471, 423
585448, 447, 595
586892, 407, 688
588336, 378, 762
589780, 337, 751
591228, 346, 703
592672, 384, 442
594116, 390, 388
595560, 408, 395
597012, 409, 600
598452, 415, 837
599896, 419, 727
601340, 446, 496
602788, 438, 226
604232, 404, 43
605592, 352, 3
606888, 313, 3
608168, 317, 3
609440, 367, 87
610776, 395, 222
612220, 375, 233
613668, 354, 229
615112, 336, 307
616556, 335, 254
618000, 344, 212
619448, 359, 188
620892, 372, 172
622336, 378, 117
623780, 370, 169
625228, 348, 216
626672, 329, 161
628116, 319, 169
629560, 330, 155
631008, 350, 117
632452, 368, 89
633812, 360, 132
635256, 339, 130
636700, 318, 99
638064, 315, 125
639508, 329, 126
640952, 350, 102
642396, 359, 89
643756, 350, 125
645200, 329, 112
646648, 314, 89
648008, 315, 108
649452, 329, 111
650896, 343, 97
652256, 350, 86
653616, 332, 117
655060, 316, 112
656508, 308, 83
657868, 316, 92
659228, 335, 105
660672, 343, 104
662116, 339, 83
663476, 319, 109
664920, 306, 112
666368, 304, 87
667728, 320, 90
669088, 338, 105
670532, 340, 108
671976, 330, 84
673336, 308, 102
674780, 300, 108
676228, 304, 88
677588, 321, 87
678952, 334, 100
680392, 330, 107
681836, 317, 83
683196, 300, 94
684556, 300, 101
686000, 312, 93
687360, 329, 84
688720, 328, 90
690080, 310, 108
691528, 297, 94
692888, 296, 86
694248, 312, 90
695608, 326, 102
697052, 325, 96
698416, 309, 86
699772, 294, 98
701132, 297, 101
702576, 309, 92
703936, 323, 86
705296, 319, 94
706656, 302, 105
708100, 292, 91
709460, 294, 88
710820, 310, 90
712180, 321, 100
713628, 317, 92
714988, 301, 88
716348, 288, 98
717708, 294, 98
719068, 310, 95
720428, 318, 88
721788, 308, 96
723148, 292, 105
724592, 288, 92
725952, 296, 87
727312, 311, 91
728672, 316, 100
730124, 309, 96
731476, 294, 90
732836, 289, 96
734196, 300, 96
735556, 313, 96
736916, 313, 90
738276, 298, 94
739636, 285, 99
740996, 289, 92
742356, 302, 88
743716, 311, 88
745076, 305, 97
746436, 290, 98
747796, 285, 89
749156, 296, 86
750516, 308, 92
751880, 309, 97
753236, 297, 93
754596, 284, 88
755956, 287, 91
757316, 299, 94
758676, 306, 95
760036, 300, 91
761396, 287, 94
762756, 281, 96
764116, 290, 92
765476, 302, 89
766836, 304, 90
768196, 294, 97
769556, 283, 97
770916, 285, 91
772276, 298, 88
773636, 304, 95
774996, 299, 98
776356, 287, 95
777716, 281, 92
779076, 290, 92
780436, 302, 95
781796, 303, 95
783156, 294, 92
784520, 286, 94
785876, 287, 95
787236, 297, 95
788600, 305, 93
789956, 299, 93
791316, 285, 96
792680, 281, 95
794036, 287, 91
795396, 298, 90
796760, 301, 94
798116, 290, 98
799476, 281, 95
800840, 283, 91
802196, 293, 91
803556, 301, 95
804920, 297, 96
806276, 286, 92
807636, 280, 91
809000, 285, 94
810356, 295, 93
811716, 297, 93
813080, 289, 95
814436, 280, 96
815796, 281, 95
817164, 290, 92
818516, 297, 91
819876, 293, 94
821236, 283, 97
822596, 278, 93
823956, 284, 91
825316, 293, 92
826676, 296, 96
828036, 290, 95
829396, 281, 93
830756, 282, 92
832116, 291, 93
833476, 297, 95
834836, 294, 94
836196, 284, 93
837556, 280, 93
838920, 284, 91
840276, 293, 91
841636, 296, 91
842996, 289, 94
844356, 281, 96
845716, 281, 93
847076, 288, 93
848436, 295, 94
849796, 293, 97
851156, 285, 97
852516, 280, 95
853876, 284, 92
855236, 293, 92
856596, 295, 93
857956, 288, 91
859316, 280, 91
860676, 279, 91
862036, 287, 91
863396, 293, 91
864756, 292, 91
866116, 286, 92
867476, 280, 91
868836, 285, 90
870196, 292, 90
871560, 294, 89
872916, 289, 90
874276, 282, 91
875640, 281, 89
876996, 288, 89
878356, 293, 91
879720, 291, 91
881076, 284, 91
882436, 279, 90
883800, 283, 90
885156, 290, 92
886516, 293, 94
887880, 289, 93
889236, 282, 94
890596, 281, 95
891960, 285, 93
893316, 291, 93
894676, 290, 94
896040, 285, 94
897396, 280, 94
898756, 282, 94
900120, 287, 93
901476, 289, 94
902836, 285, 94
904204, 279, 92
905556, 278, 91
906916, 282, 91
908276, 288, 91
909636, 287, 92
910996, 282, 92
912356, 277, 92
913716, 281, 91
915076, 286, 91
916436, 289, 93
917796, 287, 94
919156, 280, 94
920516, 278, 91
921876, 283, 90
923236, 288, 90
924596, 289, 91
925960, 283, 92
927316, 278, 91
928676, 280, 90
930036, 285, 90
931396, 287, 91
932756, 285, 91
934116, 281, 90
935476, 279, 90
936836, 283, 89
938196, 288, 90
939556, 286, 90
940916, 281, 92
942276, 277, 92
943636, 278, 91
944996, 284, 91
946356, 289, 91
947716, 285, 91
949076, 280, 92
950436, 279, 91
951796, 282, 91
953156, 287, 91
954516, 289, 91
955876, 282, 91
957236, 278, 90
958600, 281, 90
959956, 285, 91
961316, 287, 93
962680, 284, 93
964036, 280, 92
965396, 277, 92
966760, 280, 92
968116, 286, 91
969476, 286, 92
970840, 283, 92
972196, 279, 91
973556, 279, 90
974920, 283, 91
976276, 285, 91
977636, 282, 93
979000, 278, 94
980356, 275, 91
981716, 279, 90
983080, 285, 92
984436, 285, 91
985796, 280, 93
987160, 278, 93
988516, 278, 94
989876, 281, 94
991244, 285, 94
992596, 282, 94
993956, 279, 94
995316, 279, 93
996676, 280, 93
998036, 284, 92
999396, 284, 91
1000756, 281, 92
1002200, 279, 92
1003648, 278, 92
1005092, 279, 92
1006536, 281, 90
1007980, 284, 90
1009428, 285, 91
1010872, 285, 90
1012316, 282, 91
1013768, 280, 92
1015208, 279, 91
1016652, 280, 91
1018096, 282, 91
1019540, 284, 92
1020992, 284, 92
1022432, 283, 91
1023876, 281, 91
1025320, 279, 91
1026768, 279, 91
1028216, 280, 92
1029656, 281, 91
1031100, 284, 91
1032548, 285, 91
1033992, 284, 92
1035436, 282, 92
1036880, 279, 91
1038328, 278, 91
1039772, 280, 90
1041216, 281, 89
1042660, 282, 89
1044108, 281, 89
1045552, 280, 91
1046996, 279, 92
1048440, 279, 91
1049888, 280, 91
1051332, 283, 91
1052776, 286, 92
1054220, 285, 93
1055668, 283, 94
1057112, 281, 93
1058556, 279, 91
1060000, 279, 90
1061448, 280, 89
1062892, 282, 88
1064336, 283, 90
1065780, 283, 92
1067228, 282, 92
1068672, 281, 92
1070120, 280, 93
1071560, 279, 93
1073008, 280, 93
1074452, 281, 93
1075896, 283, 92
1077344, 283, 91
1078788, 281, 91
1080232, 279, 91
1081676, 281, 91
