time, x_accel, z_accel, left_enc, right_enc
505288, 3, 3, 0, 0
506348, 5, 4, 0, 0
507308, 5, 3, 0, 0
508252, 6, 3, 0, 0
509644, 22, 3, 0, 0
511344, 124, 3, 0, 0
513128, 183, 13, 0, 0
515000, 199, 44, 0, 0
516868, 204, 61, 0, 0
518740, 208, 70, 0, 0
520608, 210, 78, 0, 0
522480, 211, 82, 0, 0
524348, 210, 84, 0, 0
526220, 208, 84, 0, 0
528088, 205, 86, 0, 0
529960, 202, 87, 0, 0
531828, 205, 86, 0, 0
533700, 209, 83, 0, 0
535576, 213, 83, 0, 0
537440, 218, 86, 0, 0
539308, 221, 88, 0, 0
541180, 223, 89, 0, 0
543048, 217, 88, 0, 0
544920, 208, 88, 0, 0
546788, 201, 90, 0, 0
548660, 198, 87, 0, 0
550528, 201, 84, 0, 0
552400, 212, 82, 0, 0
554268, 222, 82, 0, 0
556140, 223, 86, 0, 0
558008, 215, 91, 0, 0
559880, 201, 90, 0, 0
561748, 196, 130, 0, 0
563704, 839, 3, 0, 0
565488, 765, 13, 0, 0
567360, 536, 241, 0, 0
569312, 313, 270, 0, 0
571268, 369, 334, 0, 0
573224, 609, 588, 0, 0
575180, 275, 816, 0, 0
577136, 5, 840, 0, 0
578920, 5, 840, 0, 0
580704, 5, 549, 0, 0
582488, 210, 152, 0, 0
584444, 347, 41, 0, 0
586316, 431, 416, 0, 0
588268, 498, 263, 0, 0
590224, 481, 209, 0, 0
592180, 450, 206, 0, 0
594132, 425, 393, 0, 0
596088, 487, 57, 0, 0
597960, 514, 3, 0, 0
599744, 483, 21, 0, 0
601612, 409, 164, 0, 0
603568, 364, 276, 0, 0
605524, 375, 187, 0, 0
607480, 383, 120, 0, 0
609436, 353, 156, 0, 0
611388, 337, 233, 0, 0
613344, 374, 255, 0, 0
615300, 398, 164, 0, 0
617256, 365, 138, 0, 0
619208, 333, 152, 0, 0
621164, 335, 164, 0, 0
623120, 359, 174, 0, 0
625072, 374, 135, 0, 0
627028, 363, 153, 0, 0
628984, 347, 155, 0, 0
630940, 336, 135, 0, 0
632892, 326, 118, 0, 0
634848, 336, 94, 0, 0
636720, 353, 146, 0, 0
638676, 361, 125, 0, 0
640628, 341, 97, 0, 0
642500, 319, 91, 0, 0
644368, 310, 118, 0, 0
646324, 322, 130, 0, 0
648280, 342, 92, 0, 0
650148, 347, 101, 0, 0
652104, 338, 113, 0, 0
654060, 317, 108, 0, 0
656012, 302, 96, 0, 0
657884, 306, 90, 0, 0
659752, 320, 122, 0, 0
661708, 341, 106, 0, 0
663664, 342, 84, 0, 0
665536, 325, 93, 0, 0
667404, 306, 106, 0, 0
669360, 296, 100, 0, 0
671316, 309, 81, 0, 0
673184, 323, 96, 0, 0
675056, 332, 106, 0, 0
677008, 327, 87, 0, 0
678880, 314, 85, 0, 0
680748, 301, 99, 0, 0
682620, 294, 99, 0, 0
684488, 298, 82, 0, 0
686360, 309, 96, 0, 0
688228, 320, 103, 0, 0
690192, 324, 87, 0, 0
692056, 316, 88, 0, 0
693924, 303, 99, 0, 0
695796, 294, 95, 0, 0
697664, 293, 86, 0, 0
699536, 301, 101, 0, 0
701488, 315, 103, 0, 0
703444, 320, 86, 0, 0
705316, 312, 85, 0, 0
707184, 300, 96, 0, 0
709056, 291, 95, 0, 0
710924, 288, 86, 0, 0
712792, 294, 97, 0, 0
714664, 305, 102, 0, 0
716620, 316, 87, 0, 0
718488, 312, 86, 0, 0
720360, 301, 94, 0, 0
722228, 290, 90, 0, 0
724100, 283, 86, 0, 0
725968, 285, 96, 0, 0
727840, 294, 98, 0, 0
729708, 303, 86, 0, 0
731580, 309, 92, 0, 0
733448, 307, 96, 0, 0
735320, 297, 86, 0, 0
737188, 286, 88, 0, 0
739060, 279, 96, 0, 0
740928, 280, 94, 0, 0
742800, 290, 90, 0, 0
744668, 300, 99, 0, 0
746540, 307, 96, 0, 0
748408, 304, 88, 0, 0
750280, 293, 90, 0, 0
752148, 282, 91, 0, 0
754020, 275, 86, 0, 0
755888, 277, 88, 0, 0
757764, 285, 97, 0, 0
759628, 295, 92, 0, 0
761500, 302, 90, 0, 0
763368, 301, 96, 0, 0
