T: 49005,   	dT: 7.14,   	P: 3,   	I: 46,   	D: 6,   	V: 55,   	L: 0.27,   	R: 0.00
T: 49012,   	dT: 7.14,   	P: 3,   	I: 57,   	D: 6,   	V: 66,   	L: 0.27,   	R: 0.27
T: 49019,   	dT: 7.14,   	P: 2,   	I: 68,   	D: 5,   	V: 75,   	L: 0.82,   	R: 0.55
T: 49027,   	dT: 7.14,   	P: 2,   	I: 79,   	D: 5,   	V: 86,   	L: 0.55,   	R: 0.82
T: 49034,   	dT: 7.14,   	P: 3,   	I: 92,   	D: 6,   	V: 101,   	L: 0.83,   	R: 0.83
T: 49041,   	dT: 7.23,   	P: 2,   	I: 101,   	D: 3,   	V: 106,   	L: 0.54,   	R: 0.81
T: 49048,   	dT: 7.30,   	P: -1,   	I: 97,   	D: -3,   	V: 93,   	L: 0.81,   	R: 0.54
T: 49056,   	dT: 7.31,   	P: -2,   	I: 88,   	D: -6,   	V: 80,   	L: 1.07,   	R: 0.81
T: 49063,   	dT: 7.31,   	P: 0,   	I: 87,   	D: -2,   	V: 85,   	L: 1.35,   	R: 1.34
T: 49070,   	dT: 7.22,   	P: 0,   	I: 87,   	D: -1,   	V: 86,   	L: 1.63,   	R: 1.63
T: 49077,   	dT: 7.22,   	P: -2,   	I: 81,   	D: -5,   	V: 74,   	L: 1.36,   	R: 1.63
T: 49085,   	dT: 7.32,   	P: -3,   	I: 68,   	D: -8,   	V: 57,   	L: 1.88,   	R: 1.61
T: 49092,   	dT: 7.30,   	P: -3,   	I: 56,   	D: -8,   	V: 45,   	L: 1.88,   	R: 1.88
T: 49099,   	dT: 7.31,   	P: -2,   	I: 48,   	D: -6,   	V: 40,   	L: 2.15,   	R: 1.88
T: 49107,   	dT: 7.30,   	P: -3,   	I: 36,   	D: -7,   	V: 26,   	L: 2.15,   	R: 2.15
T: 49114,   	dT: 7.32,   	P: -3,   	I: 24,   	D: -7,   	V: 14,   	L: 1.88,   	R: 1.88
T: 49121,   	dT: 7.30,   	P: -3,   	I: 13,   	D: -7,   	V: 3,   	L: 1.88,   	R: 1.88
T: 49128,   	dT: 7.23,   	P: -3,   	I: 0,   	D: -7,   	V: -10,   	L: 1.90,   	R: 1.63
T: 49136,   	dT: 7.31,   	P: -4,   	I: -14,   	D: -9,   	V: -27,   	L: 1.34,   	R: 1.34
T: 49143,   	dT: 7.46,   	P: -4,   	I: -28,   	D: -8,   	V: -40,   	L: 1.05,   	R: 1.05
T: 49151,   	dT: 7.48,   	P: -4,   	I: -43,   	D: -8,   	V: -55,   	L: 0.79,   	R: 0.79
T: 49158,   	dT: 7.48,   	P: -4,   	I: -60,   	D: -10,   	V: -74,   	L: 0.79,   	R: 0.52
T: 49166,   	dT: 7.57,   	P: -3,   	I: -72,   	D: -6,   	V: -81,   	L: 0.26,   	R: 0.52
T: 49173,   	dT: 7.48,   	P: 0,   	I: -74,   	D: 0,   	V: -74,   	L: 0.26,   	R: 0.52
T: 49180,   	dT: 7.31,   	P: 0,   	I: -72,   	D: 1,   	V: -71,   	L: 0.00,   	R: 0.27
T: 49188,   	dT: 7.30,   	P: 1,   	I: -67,   	D: 3,   	V: -63,   	L: 0.00,   	R: 0.00
